地域,人口,面積
千代田区,61420,11.66
中央区,157484,10.21
港区,253940,20.37
新宿区,343494,18.22
文京区,227224,11.29
台東区,203219,10.11
墨田区,264515,13.77
江東区,510692,40.16
品川区,398732,22.84
目黒区,283153,14.67
大田区,728437,60.83
世田谷区,921708,58.05
渋谷区,229994,15.11
中野区,335813,15.59
杉並区,575691,34.06
豊島区,297946,13.01
北区,348274,20.61
荒川区,216098,10.16
板橋区,573966,32.22
練馬区,731360,48.08
足立区,677536,53.25
葛飾区,450815,34.8
江戸川区,690614,49.9
八王子市,576907,186.38
立川市,179326,24.36
武蔵野市,146333,10.98
三鷹市,190356,16.42
青梅市,135527,103.31
府中市,261403,29.43
昭島市,111903,17.34
調布市,235430,21.58
町田市,433843,71.55
小金井市,123868,11.3
小平市,192716,20.51
日野市,188183,27.55
東村山市,150030,17.14
国分寺市,124493,11.46
国立市,74647,8.15
福生市,58140,10.16
狛江市,82360,6.39
東大和市,84674,13.42
清瀬市,75329,10.23
東久留米市,116328,12.88
武蔵村山市,71652,15.32
多摩市,147541,21.01
稲城市,90270,17.97
羽村市,55130,9.9
あきる野市,80326,73.47
西東京市,202069,15.75
瑞穂町,33064,16.85
日の出町,17321,28.07
檜原村,2092,105.41
奥多摩町,5037,225.53
大島町,7552,90.76
利島村,346,4.12
新島村,2623,27.54
神津島村,1841,18.58
三宅村,2372,55.26
御蔵島村,344,20.54
八丈町,7292,72.23
青ヶ島村,177,5.96
小笠原村,3073,106.78
