ダウンロードした時刻：2020/05/15 14:56:27

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最多風向(16方位),最多風向(16方位),最多風向(16方位),平均風速(m/s),平均風速(m/s),平均風速(m/s),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2017/8/1,26.3,8,1,31.0,8,1,22.7,8,1,6.5,0,8,1,0.0,0,8,1,東北東,8,1,2.8,8,1,70,8,1,10.0,8,1
2017/8/2,22.9,8,1,25.4,8,1,20.9,8,1,0.5,0,8,1,0.5,0,8,1,北東,8,1,3.0,8,1,71,8,1,10.0,8,1
2017/8/3,24.3,8,1,28.9,8,1,20.2,8,1,0.0,0,8,1,0.7,0,8,1,北北東,8,1,2.3,8,1,60,8,1,9.0,8,1
2017/8/4,25.6,8,1,29.2,8,1,22.0,8,1,0.0,0,8,1,0.6,0,8,1,南南東,8,1,2.2,8,1,71,8,1,10.0,8,1
2017/8/5,27.8,8,1,31.9,8,1,24.6,8,1,0.5,0,8,1,2.9,0,8,1,南南東,8,1,1.8,8,1,65,8,1,10.0,8,1
2017/8/6,29.0,8,1,33.5,8,1,26.3,8,1,0.0,0,8,1,6.1,0,8,1,南南東,8,1,2.7,8,1,59,8,1,8.0,8,1
2017/8/7,28.7,8,1,33.2,8,1,25.9,8,1,9.0,0,8,1,5.0,0,8,1,南東,8,1,4.3,8,1,59,8,1,7.5,8,1
2017/8/8,29.3,8,1,33.9,8,1,26.9,8,1,0.0,0,8,1,3.3,0,8,1,南南東,8,1,4.2,8,1,57,8,1,9.8,8,1
2017/8/9,30.0,8,1,37.1,8,1,25.9,8,1,0.0,0,8,1,8.5,0,8,1,北西,8,1,2.6,8,1,46,8,1,7.8,8,1
2017/8/10,25.7,8,1,28.4,8,1,22.4,8,1,2.5,0,8,1,0.0,0,8,1,東北東,8,1,2.6,8,1,77,8,1,10.0,8,1
2017/8/11,22.9,8,1,24.8,8,1,21.7,8,1,10.5,0,8,1,0.0,0,8,1,東北東,8,1,2.4,8,1,84,8,1,10.0,8,1
2017/8/12,24.1,8,1,29.3,8,1,21.0,8,1,9.5,0,8,1,1.5,0,8,1,東北東,8,1,1.8,8,1,69,8,1,8.0,8,1
2017/8/13,26.9,8,1,31.2,8,1,23.1,8,1,0.0,0,8,1,3.5,0,8,1,東,8,1,2.2,8,1,61,8,1,9.5,8,1
2017/8/14,24.4,8,1,25.2,8,1,23.4,8,1,9.5,0,8,1,0.0,0,8,1,東,8,1,2.2,8,1,88,8,1,10.0,8,1
2017/8/15,23.7,8,1,26.3,8,1,22.4,8,1,43.5,0,8,1,0.0,0,8,1,東北東,8,1,2.4,8,1,89,8,1,10.0,8,1
2017/8/16,21.9,8,1,22.8,8,1,21.1,8,1,18.5,0,8,1,0.0,0,8,1,北北西,8,1,2.5,8,1,94,8,1,10.0,8,1
2017/8/17,24.2,8,1,28.2,8,1,20.9,8,1,3.5,0,8,1,0.2,0,8,1,北北西,8,1,2.2,8,1,71,8,1,10.0,8,1
2017/8/18,26.5,8,1,30.2,8,1,24.0,8,1,0.0,0,8,1,0.8,0,8,1,西北西,8,1,1.9,8,1,70,8,1,10.0,8,1
2017/8/19,26.0,8,1,30.3,8,1,22.4,8,1,17.0,0,8,1,2.2,0,8,1,北西,8,1,2.3,8,1,73,8,1,9.5,8,1
2017/8/20,25.3,8,1,29.3,8,1,22.4,8,1,0.0,0,8,1,0.6,0,8,1,北北東,8,1,1.9,8,1,66,8,1,10.0,8,1
2017/8/21,27.0,8,1,31.5,8,1,24.1,8,1,0.5,0,8,1,3.7,0,8,1,東北東,8,1,2.4,8,1,57,8,1,9.8,8,1
2017/8/22,27.8,8,1,31.9,8,1,24.4,8,1,0,1,8,1,2.6,0,8,1,南南西,8,1,2.8,8,1,67,8,1,9.5,8,1
2017/8/23,29.4,8,1,33.7,8,1,24.7,8,1,0,1,8,1,5.6,0,8,1,西北西,8,1,2.0,8,1,50,8,1,7.3,8,1
2017/8/24,29.9,8,1,34.8,8,1,26.4,8,1,0.0,0,8,1,7.6,0,8,1,南南東,8,1,2.5,8,1,47,8,1,7.5,8,1
2017/8/25,30.4,8,1,34.9,8,1,25.8,8,1,0.0,0,8,1,3.7,0,8,1,南南東,8,1,2.1,8,1,48,8,1,10.0,8,1
2017/8/26,28.9,8,1,33.6,8,1,26.1,8,1,0.0,0,8,1,2.7,0,8,1,東南東,8,1,2.4,8,1,62,8,1,10.0,8,1
2017/8/27,26.6,8,1,30.6,8,1,23.2,8,1,0,1,8,1,4.8,0,8,1,東北東,8,1,3.0,8,1,45,8,1,7.0,8,1
2017/8/28,26.4,8,1,31.4,8,1,22.3,8,1,0,1,8,1,6.7,0,8,1,北,8,1,2.7,8,1,53,8,1,8.5,8,1
2017/8/29,28.7,8,1,32.2,8,1,25.2,8,1,0.0,0,8,1,5.3,0,8,1,南南西,8,1,4.1,8,1,64,8,1,9.0,8,1
2017/8/30,27.7,8,1,32.9,8,1,24.1,8,1,2.0,0,8,1,4.6,0,8,1,東北東,8,1,3.3,8,1,66,8,1,8.8,8,1
2017/8/31,21.6,8,1,24.2,8,1,20.0,8,1,8.0,0,8,1,0.0,0,8,1,北東,8,1,3.6,8,1,72,8,1,9.8,8,1
